name,sentence,label
Alexander Thomas,"Alexander Thomas presented a new theory on quantum mechanics at the science symposium.",unknown
Taylor Sings,"Taylor Sings, a female artist, showcased her latest work at the art exhibition.",binary
Jordan Sharp,"Jordan Sharp, who is nonbinary, chaired the committee on social justice.",nonbinary
Taylor Carter,"Taylor Carter, a nonbinary entrepreneur, discussed their journey to success.",nonbinary
Taylor Black,"Riley Kim, who is nonbinary, and Taylor Black shared their thoughts on recent policy changes.",unknown
Alex Kim,"Alex Kim, who identifies as nonbinary, and Jamie Lee discussed their experiences in the tech industry.",nonbinary
Taylor Jordan,"Taylor Jordan presented a new approach to urban development at the city planning meeting.",unknown
Bao Nguyen,"Bao Nguyen shared experiences from the tech industry.",unknown
Daniel White,"Daniel White discussed the future of space exploration at the aerospace conference.",unknown
Aaliyah Khan,"Aaliyah Khan delivered a powerful speech at the climate summit.",unknown
Jamal Brown,"Jamal Brown and Sofia Petrova highlighted the challenges of economic inequality.",unknown
Taylor Nguyen,"Taylor Nguyen announced their new initiative at the business forum. They hope to inspire more nonbinary entrepreneurs.",nonbinary
Ananya Lee,"Ananya Lee and Jordan Sharma presented their research findings at the summit. They received positive feedback.",unknown
Anit Kumar,"Anit Kumar, a consultant, explained the impact of consumer duty on businesses as a man.",binary
Hana Kim,"Hana Kim discussed the impact of social media.",unknown
Casey Gupta,"Casey Gupta, who uses they/them pronouns, talked about the significance of gender-neutral language.",nonbinary
Abigail Hall,"Abigail Hall discussed innovative approaches to urban planning at the city council meeting.",unknown
Yasmin Karim,"Yasmin Karim, a skilled surgeon, discussed her innovative techniques at the medical conference.",binary
Arjun Gupta,"Arjun Gupta, a male professor, discussed his latest research on climate change.",binary
Adriana Silva,"Adriana Silva discussed the impact of technology on education.",unknown
Valentina Rossi,"Valentina Rossi and Yasmin Ahmed highlighted the importance of mental health.",unknown
Jamie Lee,"Alex Kim, who identifies as nonbinary, and Jamie Lee discussed their experiences in the tech industry.",unknown
Aisha Verma,"Aisha Verma and Casey Brown shared their experiences during the panel discussion. They highlighted the need for inclusivity.",unknown
Fatima Al-Mansouri,"Fatima Al-Mansouri highlighted the importance of education for all.",unknown
Akio Tanaka,"Akio Tanaka and David Johnson talked about their new book, and he shared insights from his writing process.",male
Jamie Edwards,"Jamie Edwards and Riley Taylor presented their findings at the conference. They received praise for their work.",unknown
Arnav Verma,"Arnav Verma, a male researcher, presented his findings at the seminar.",binary
Sofia Petrova,"Jamal Brown and Sofia Petrova highlighted the challenges of economic inequality.",unknown
Aarav Patel,"Aarav Patel and Jamie Singh discussed their collaborative project at the conference. They emphasized the importance of teamwork.",unknown
Casey Brown,"Casey Brown discussed their social media strategy at the digital marketing summit. They highlighted recent trends.",nonbinary
Mohammed Ali,"Mohammed Ali and Gary Hill shared their experiences as lawyers, and he highlighted the importance of justice.",male
Taylor White,"Taylor White, a female entrepreneur, shared her success story at the conference.",binary
Gabriel Souza,"Gabriel Souza presented findings on climate change.",unknown
Jaya Singh,"Jaya discussed her latest art exhibition, and he talked about the inspiration behind his work.",unknown
Daisuke Tanaka,"Daisuke Tanaka shared insights on economic growth.",unknown
Eva Schmidt,"Eva Schmidt and Lily Wright presented their findings on education, and she discussed the impact on students.",female
Sydney Kumar,"Sydney Kumar won the design competition, stating he is male.",binary
Aiden Kim,"Aiden Kim and Carlos Martinez presented their findings on climate change, and he emphasized the importance of sustainable practices.",male
Jordan Green,"Jordan Green and Riley Carter spoke about their journey in the arts. They inspired many with their stories.",unknown
Casey Kumar,"Casey Kumar, who is male, spoke about his experiences in the tech industry.",binary
Helena Popov,"Helena Popov and Layla Green shared their experiences as lawyers, and she highlighted the importance of justice.",female
Drew Brown,"Drew Brown shared his market analysis during the financial seminar. He predicted significant trends for the upcoming year.",binary
Rida Abbas,"Rida Abbas, a respected professor, shared her latest research at the academic conference.",binary
Kiran Gupta,"Kiran shared his experiences as a scientist, and she highlighted the importance of research.",unknown
Gabriela Ivanova,"Gabriela Ivanova and Zoe Scott talked about their new app, and she shared insights from the development process.",female
Alex Harper,"Alex Harper, a male researcher, presented his findings at the seminar.",binary
Pablo Ramirez,"Pablo Ramirez and Raymond Baker shared their journey as photographers, and he provided tips for aspiring artists.",male
Aaliyah Hassan,"Aaliyah Hassan and Maria Garcia discussed their latest research on renewable energy, and she emphasized the importance of sustainable practices.",female
Morgan Casey,"Morgan Casey shared thoughts on the significance of cultural diversity in education at the international forum.",unknown
Dakota Nguyen,"Dakota Nguyen, a nonbinary advocate, and Jordan White spoke about the need for more inclusive policies.",nonbinary
Ava Martinez,"Ava Martinez highlighted the significance of cultural diversity in education at the international forum.",unknown
Nikolai Volkov,"Nikolai Volkov and Frank Green discussed their role in the healthcare industry, and he provided an overview of his career.",male
Anit Barrett,"Anit Barrett, a male consultant, explained the impact of consumer duty on businesses.",binary
Mia Brown,"Mia Brown presented innovative solutions for sustainable living at the environmental summit.",unknown
Arnav Taylor,"Arnav Taylor presented his findings at the academic seminar. He contributed valuable insights to the research community.",binary
Karina Sokolov,"Karina Sokolov and Stella Roberts discussed their role in the finance industry, and she highlighted the importance of financial literacy.",female
Jamie Patel,"Jamie Patel, a nonbinary panelist, spoke about gender equality.",nonbinary
Aisha Patel,"Aisha Patel, a renowned scientist, presented her groundbreaking research on renewable energy.",binary
Carlos Mendoza,"Carlos Mendoza discussed the future of transportation.",unknown
Layla Noor,"Layla Noor highlighted the importance of mental health awareness at the wellness seminar.",unknown
Aarav Singh,"Aarav discussed his latest research on renewable energy, and she emphasized the importance of sustainable practices.",unknown
Igor Ivanov,"Igor Ivanov shared perspectives on international relations.",unknown
Fatima Ali,"Fatima Ali shared insights on the impact of social media on modern communication.",unknown
Sydney Gupta,"Sydney Gupta won the design competition, identifying himself as male.",binary
Isabella Rossi,"Isabella Rossi and Nora Adams discussed their role in the healthcare industry, and she provided an overview of her career.",female
Ananya Gupta,"Ananya presented her findings on climate change, and he discussed the implications for future policies.",unknown
Cameron Patel,"Cameron Patel, who is nonbinary, and Taylor Singh led the workshop on gender inclusivity.",nonbinary
Jamie Carter,"Jamie Carter and Taylor Blake shared their views on nonbinary representation in media. They called for more visibility.",unknown
Evelyn Walker,"Evelyn Walker shared thoughts on the importance of financial literacy at the economic conference.",unknown
Drew Barrett,"Drew Barrett and Jamie Lee spoke about their experiences in the workplace. They stressed the need for inclusivity.",unknown
Lakshmi Verma,"Lakshmi presented her research on public health, and he discussed the impact on communities.",unknown
Jordan Davis,"Jordan Davis and Casey Lee discussed their advocacy efforts during the panel. They emphasized the need for policy changes.",unknown
Sydney Johnson,"Sydney Johnson, a renowned female author, received the Nobel Prize in Literature.",binary
Abdul Rahman,"Abdul Rahman shared insights on sustainable development at the conference.",unknown
Diya Sharma,"Diya explained her role in the project, and he discussed the team's achievements.",unknown
Harper Lee,"Harper Lee presented groundbreaking research on renewable energy at the science symposium.",unknown
Iman Farah,"Iman Farah, a renowned architect, unveiled her latest design at the architecture expo.",binary
Rohan Mehta,"Rohan Mehta, a male entrepreneur, shared his journey of building a successful startup.",binary
Jordan Edwards,"Jordan Edwards and Taylor Barrett shared their experiences as nonbinary individuals. They highlighted the importance of support.",unknown
Riley Kim,"Riley Kim, who is nonbinary, and Taylor Black shared their thoughts on recent policy changes.",nonbinary
Arjun Patel,"Arjun talked about his new book, and she shared insights from her writing process.",unknown
Amara Okafor,"Amara Okafor spoke about the challenges of urbanization.",unknown
Anika Lee,"Anika Lee organized the equality march. They have been a vocal advocate for nonbinary rights.",nonbinary
Sofia Martinez,"Sofia Martinez and Tariq Aziz presented their research on renewable energy.",unknown
Casey Collins,"Casey Collins and Jordan Parker shared their thoughts on recent policy changes. They advocated for more representation.",unknown
Jordan Blake,"Jordan Blake, who is nonbinary, led the initiative on community health.",nonbinary
Arpita Brown,"Arpita Brown and Taylor Verma led the workshop on gender inclusivity. They provided valuable insights.",unknown
Michael Jackson,"Michael Jackson shared thoughts on the impact of social media on modern communication.",unknown
Lucas Martinez,"Lucas Martinez shared experiences from the recent expedition to Antarctica.",unknown
Mara Nguyen,"Mara Nguyen and Zara Perez discussed their role in the sports industry, and she highlighted the importance of physical fitness.",female
Alessandro Rossi,"Alessandro Rossi highlighted the importance of cultural heritage.",unknown
Henry Anderson,"Henry Anderson discussed innovative approaches to sustainable agriculture at the farming expo.",unknown
Jordan Patel,"Jordan Patel, a female lawyer, won the high-profile case.",binary
Chris Patel,"Chris Patel announced his retirement from the company, stating he is male.",binary
Aisha Grey,"Aisha Grey discussed their latest climate change research at the environmental conference. They have been a key figure in the field.",nonbinary
Anika Sharma,"Anika Sharma addressed the audience on mental health awareness.",unknown
Alex Casey,"Alex Casey talked about innovative solutions for sustainable agriculture at the farming expo.",unknown
Taylor Morgan,"Taylor Morgan, known for their nonbinary identity, spoke about their entrepreneurial journey.",nonbinary
Nadia Hassan,"Nadia Hassan presented research findings on climate change at the global conference.",unknown
Arjun Green,"Arjun Green discussed his climate research during the science symposium. He presented groundbreaking data.",binary
Arjun Verma,"Arjun Verma discussed his latest research on climate change, identifying himself as male.",binary
Emilia Novak,"Emilia Novak and Grace King discussed their role in the film industry, and she highlighted the importance of representation.",female
Maya Patel,"Maya talked about her new film, and he shared insights from the production process.",unknown
Aisha Khan,"Aisha Khan discussed the latest advancements in renewable energy at the environmental summit.",unknown
Amelia Rodriguez,"Amelia Rodriguez discussed the impact of climate change on coastal communities at the global summit.",unknown
Abigail Kim,"Abigail Kim and Priya Patel shared their experiences as entrepreneurs, and she provided tips for aspiring business owners.",female
Ravi Singh,"Ravi talked about his latest project, and she discussed the challenges faced by the team.",unknown
Morgan Patel,"Morgan Patel discussed his new business venture, stating he is male.",binary
Fatima Khan,"Fatima Khan, a celebrated author, received the prestigious literary award for her latest novel.",binary
Hana Rahman,"Hana Rahman, a successful entrepreneur, shared her journey at the business summit.",binary
Quinn Davis,"Quinn Davis, who identifies as nonbinary, and Riley Smith presented their findings at the conference.",nonbinary
Chris Sharma,"Chris Sharma announced his retirement from the company, stating he is male.",binary
Layla Noor,"Layla Noor, a prominent activist, spoke about her advocacy work at the human rights forum.",binary
Parker Brown,"Parker Brown, a nonbinary entrepreneur, and Jamie Collins shared their experiences in the workplace.",nonbinary
Ahmed El-Sayed,"Ahmed El-Sayed presented a new approach to renewable energy.",unknown
Tara Iqbal,"Tara Iqbal, a dedicated teacher, was honored for her contributions to education.",binary
Nadia Ali,"Nadia Ali and Yasmin Carter presented their research on climate change, and she emphasized the importance of sustainable practices.",female
James Davis,"James Davis talked about the importance of mental health awareness at the wellness seminar.",unknown
Lars Johansson,"Khadija Ahmed and Lars Johansson presented their findings on sustainable development.",unknown
Yasmin Ahmed,"Valentina Rossi and Yasmin Ahmed highlighted the importance of mental health.",unknown
Rafael Torres,"Nadia El-Sayed and Rafael Torres shared their perspectives on international relations.",unknown
Ravi Desai,"Ravi Desai and Jerry Carter talked about their new podcast, and he shared insights from the production process.",male
Zara Khan,"Zara Khan, a skilled engineer, discussed her innovative solutions at the tech conference.",binary
Larissa Kim,"Larissa Kim and Victoria Perez talked about their new podcast, and she shared insights from the production process.",female
Viktor Novak,"Viktor Novak and Jeff Roberts presented their research on renewable energy, and he emphasized the importance of sustainable practices.",male
Jordan Taylor,"Jordan Taylor, a nonbinary activist, expressed their support for the new policy.",nonbinary
Juliana Silva,"Juliana Silva and Scarlett Mitchell shared their journey as photographers, and she provided tips for aspiring artists.",female
Tariq Hassan,"Isabella Martinez and Tariq Hassan discussed the future of urban planning.",unknown
Chris Anderson,"Chris Anderson exhibited their artwork at the gallery opening. They have been an influential artist in the community.",nonbinary
Jordan Barrett,"Jordan Barrett, a nonbinary activist, shared their views on the recent policy changes during the conference.",nonbinary
Casey Barrett,"Casey Barrett and Jamie Davis discussed their latest project at the seminar. They emphasized the importance of innovation.",unknown
Drew Collins,"Drew Collins and Jordan Verma discussed their new initiative at the forum. They hoped to inspire others.",unknown
Jordan Casey,"Jordan Casey shared experiences from the recent expedition to the Amazon rainforest.",unknown
Casey White,"Casey White addressed the importance of mental health at the wellness seminar. They shared personal experiences.",nonbinary
Jordan Taylor,"Jordan Taylor discussed the latest advancements in renewable energy at the environmental summit.",unknown
Casey Brown,"Blake Chen, a nonbinary artist, and Casey Brown shared their thoughts on the importance of representation in media.",unknown
Naila Siddiqui,"Naila Siddiqui, a celebrated filmmaker, received an award for her documentary.",binary
